reservorio	fecha	agua_caida
RAPEL	2017-02-18	0,0
SAUZAL	2017-02-18	0,0
ACONCAGUA	2017-02-19	0,0
CHAPO	2017-02-19	134,5
COLBÚN	2017-02-19	0,0
INVERNADA	2017-02-19	0,0
LAJA	2017-02-19	0,0
LOS MOLLES	2017-02-19	0,0
MELADO	2017-02-19	0,0
PANGUE	2017-02-19	0,0
PILMAIQUEN	2017-02-19	1,0
PULLINQUE	2017-02-19	1,0
RAPEL	2017-02-19	0,0
SAUZAL	2017-02-19	0,0
ACONCAGUA	2017-02-20	0,0
CHAPO	2017-02-20	5,0
COLBÚN	2017-02-20	0,0
INVERNADA	2017-02-20	0,0
LAJA	2017-02-20	0,0
LOS MOLLES	2017-02-20	0,0
MELADO	2017-02-20	0,0
PANGUE	2017-02-20	0,0
PILMAIQUEN	2017-02-20	0,0
PULLINQUE	2017-02-20	5,0
RAPEL	2017-02-20	0,0
SAUZAL	2017-02-20	0,0
ACONCAGUA	2017-02-21	0,0
CHAPO	2017-02-21	18,0
COLBÚN	2017-02-21	0,0
INVERNADA	2017-02-21	0,0
LAJA	2017-02-21	0,0
LOS MOLLES	2017-02-21	0,0
MELADO	2017-02-21	0,0
PANGUE	2017-02-21	0,0
PILMAIQUEN	2017-02-21	0,0
PULLINQUE	2017-02-21	0,0
RAPEL	2017-02-21	0,0
SAUZAL	2017-02-21	0,0
ACONCAGUA	2017-02-22	0,0
CHAPO	2017-02-22	5,5
COLBÚN	2017-02-22	0,0
INVERNADA	2017-02-22	0,0
LAJA	2017-02-22	0,0
LOS MOLLES	2017-02-22	0,0
MELADO	2017-02-22	0,0
PANGUE	2017-02-22	0,0
PILMAIQUEN	2017-02-22	0,0
PULLINQUE	2017-02-22	0,0
RAPEL	2017-02-22	0,0
SAUZAL	2017-02-22	0,0
ACONCAGUA	2017-02-23	0,0
CHAPO	2017-02-23	0,0
COLBÚN	2017-02-23	0,0
INVERNADA	2017-02-23	0,0
LAJA	2017-02-23	0,0
LOS MOLLES	2017-02-23	0,0
MELADO	2017-02-23	0,0
PANGUE	2017-02-23	0,0
PILMAIQUEN	2017-02-23	0,0
PULLINQUE	2017-02-23	0,0
RAPEL	2017-02-23	0,0
SAUZAL	2017-02-23	0,0
ACONCAGUA	2017-02-24	3,9
CHAPO	2017-02-24	0,0
COLBÚN	2017-02-24	0,0
INVERNADA	2017-02-24	0,0
LAJA	2017-02-24	0,0
LOS MOLLES	2017-02-24	0,0
MELADO	2017-02-24	0,0
PANGUE	2017-02-24	0,0
PILMAIQUEN	2017-02-24	0,0
PULLINQUE	2017-02-24	0,0
RAPEL	2017-02-24	0,0
SAUZAL	2017-02-24	0,0
ACONCAGUA	2017-02-25	9,6
CHAPO	2017-02-25	0,0
COLBÚN	2017-02-25	0,0
INVERNADA	2017-02-25	0,0
LAJA	2017-02-25	0,0
LOS MOLLES	2017-02-25	0,0
MELADO	2017-02-25	0,0
PANGUE	2017-02-25	0,0
PILMAIQUEN	2017-02-25	0,0
PULLINQUE	2017-02-25	0,0
RAPEL	2017-02-25	0,0
SAUZAL	2017-02-25	0,0
ACONCAGUA	2017-02-26	0,0
CHAPO	2017-02-26	0,0
COLBÚN	2017-02-26	0,0
INVERNADA	2017-02-26	0,0
LAJA	2017-02-26	0,0
LOS MOLLES	2017-02-26	0,0
